smiles,score,time
COP(C)(=O)C(N)Cc1ccccc1,-7.2,2.85
CC(NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(=O)O,-8.27,3.723
COC(=O)C(O)(CC(=O)Nc1ccc(Cl)cc1F)C(F)(F)F,-8.72,4.784
O=C(Nc1cccc(C(F)(F)F)c1)c1cnn(-c2cccc(F)c2)c1C1CCNCC1,-9.69,7.442
CC1(Nc2ccc(OC(F)(F)F)cn2)CCCC1NC(=O)c1ccccc1-n1nccn1,-8.9,8.758
COc1ccc(NC=O)c(C(O)CCNC(C)=O)c1,-7.64,4.24
Cc1ccc(N=C(S)NC(NC(=O)C(C)(C)C)C(Cl)(Cl)Cl)c(C)c1,-8.13,6.758
CNc1nccc(-c2cnc3c(NC(C)C)nccn23)n1,-8.77,3.417
CCN(CC)C(=O)Cn1c(SCC(=O)Nc2ccc(F)cc2)nc2ccccc21,-8.8,7.948
CC1C2Cc3ccc(O)cc3C1(C)CCN2CCNC1CCCCC1,-9.4,4.508
CCOC(=O)C(=O)Nc1ccc(F)c(F)c1,-7.74,2.948
NCCCn1c2c(c3ccc(N)cc3c1=O)C(O)c1ccccc1-2,-7.79,3.875
Cc1ccc(-c2ccc(OCCN(C)CC(=O)O)c(C(=O)c3cccs3)c2)cc1,-8.96,7.791
CCCC(=O)N(C)Cc1nc(-c2nc(C)cs2)c(-c2ccc3ncsc3c2)[nH]1,-8.19,6.875
CCCc1cc(C2CCCN2C(=O)NCc2cccc(OC)c2)no1,-8.92,6.017
CN(CCc1cnn(C)c1)C(=O)CCc1nnc(CCCc2ccccc2)o1,-9.51,7.72
O=C(c1ccc(Br)cc1)C1CCN(C2CCCCC2O)CC1,-8.95,4.055
Cc1cc(C)n2nc(-c3ccc4cc(-c5ccccc5)nn4c3)nc2n1,-12.0,3.654
NC(=O)c1nc(-c2ccccc2)c(-c2ccccc2)nc1O,-8.41,3.974
CC(C)CC(C(=O)NC(Cc1ccccc1)C(N)=O)C(CS)C(=O)NO,-7.83,8.228
CCOC(=O)n1c(=O)n(C)c2ccc(Cl)cc21,-5.86,2.647
Cc1cc(=O)n(C)cc1NC(=O)c1cn(C)nc1-c1cccs1,-8.15,4.56
O=C(O)C=Cc1ccc(C(F)(F)F)cc1,-8.11,2.555
COc1ccccc1-c1cc(NC=O)c2ncc(-c3ccc(F)cc3)n2c1,-8.15,5.435
CN(C(=O)c1ccc2c(c1)C(O)(C(F)(F)F)c1ccccc1-2)C1CCC1,-9.86,4.159
O=C(Cc1ccc(F)cc1)NC1C(O)OC(CO)C(O)C1O,-9.58,4.537
COc1ccc(-[n+]2c(-c3ccc(Br)cc3)cn3c2CCC3)cc1,-7.45,3.935
CSc1ccc(C(O)C(O)CO)cc1,-7.05,2.593
COc1ccc(OC)c(-c2cc(C(=O)NN=Cc3ccc(F)cc3)c3ccccc3n2)c1,-9.74,8.185
COc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2OC)N3)cc1,-10.36,7.597
COCCNc1nn2c(-c3ccc(OC)cc3)nnc2c2ccccc12,-7.8,5.041
CCCOc1cc(C)c(N(CC)C(=O)CN)c(C)c1,-6.22,4.116
Cc1cccc(C)c1NC(=O)CCCCC(=O)NO,-7.94,4.3
CN(c1ccc(C(C)(O)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,-9.52,4.99
CNCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,-8.64,3.926
COCCNCCCCSc1ccc(Cl)cc1,-6.72,4.376
CN1CCC(N(c2nc3cc[nH]c(=O)c3c3cc(F)ccc23)C2CC2)CC1,-8.03,4.377
COC(=O)C=Cc1ccc(N(C)C)cc1,-6.77,2.624
CCOC(=O)c1c(NC(=O)NC2CCCCC2)sc(C)c1C,-8.23,4.462
CCC(C)CN(C)S(=O)(=O)c1ccc(OC)c(N)c1,-7.23,4.211
Cc1ccc(NC(=O)NCCO)cc1C(F)(F)F,-7.82,3.421
COc1cc(C=CC(=O)OCC(=O)NC(=O)NC(C)C)ccc1OCC#N,-8.05,7.5
